"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2018-01-31 16:22:42","Chest + Calves","Incline Barbell Bench Press","1","14","5","","","kg",
"2018-01-31 16:22:42","Chest + Calves","Incline Barbell Bench Press","2","14","5","","","kg",
"2018-01-31 16:22:42","Chest + Calves","Incline Barbell Bench Press","3","14","5","","","kg",
"2018-01-31 16:22:42","Chest + Calves","Incline Barbell Bench Press","4","14","5","","","kg",
"2018-01-31 16:22:42","Chest + Calves","Incline Dumbbell Bench Press Flys","1","6","5","","","kg",
"2018-01-31 16:22:42","Chest + Calves","Incline Dumbbell Bench Press Flys","2","6","5","","","kg",
"2018-01-31 16:22:42","Chest + Calves","Incline Dumbbell Bench Press Flys","3","6","5","","","kg",
"2018-01-31 16:22:42","Chest + Calves","Barbell Bench Press","1","12","5","","","kg",
"2018-01-31 16:22:42","Chest + Calves","Barbell Bench Press","2","16","5","","","kg",
"2018-01-31 16:22:42","Chest + Calves","Barbell Bench Press","3","16","5","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Barbell Drag Curl","1","3","10","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Barbell Drag Curl","2","3","10","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Barbell Drag Curl","3","3","10","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Barbell Bicep Curl","1","4","8","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Barbell Bicep Curl","2","5","10","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Barbell Bicep Curl","3","5","8","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Close Grip Barbell Bench Press","1","6","10","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Close Grip Barbell Bench Press","2","6","10","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Close Grip Barbell Bench Press","3","6","10","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Seated Dumbbell Triceps Extension","1","6","10","","","kg",
"2018-02-01 01:06:07","Arms + Abs","Seated Dumbbell Triceps Extension","2","6","6","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Barbell Squat","1","18","5","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Barbell Squat","2","18","5","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Barbell Squat","3","18","5","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Leg Press","1","5","5","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Leg Press","2","5","5","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Leg Press","3","5","5","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Barbell Romanian Deadlift","1","16","5","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Barbell Romanian Deadlift","2","16","5","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Barbell Romanian Deadlift","3","16","5","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Barbell Hip Thrust","1","8","20","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Barbell Hip Thrust","2","8","20","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Barbell Hip Thrust","3","8","20","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Bent Knee Hip Raise","1","2.5","1","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Bent Knee Hip Raise","2","2.5","1","","","kg",
"2018-02-02 01:31:23","Legs + Butt","Bent Knee Hip Raise","3","2.5","1","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Incline Barbell Bench Press","1","14","5","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Incline Barbell Bench Press","2","14","5","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Incline Barbell Bench Press","3","14","5","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Incline Dumbbell Bench Press Flys","1","6","5","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Incline Dumbbell Bench Press Flys","2","6","4","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Incline Dumbbell Bench Press Flys","3","6","4","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Barbell Bench Press","1","16","5","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Barbell Bench Press","2","16","5","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Barbell Bench Press","3","16","5","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Chest Dips","1","60","10","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Chest Dips","2","60","10","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Chest Dips","3","60","10","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Seated Calf Raise Machine","1","12","10","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Seated Calf Raise Machine","2","12","10","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Seated Calf Raise Machine","3","12","8","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Standing Calf Raise Machine","1","50","5","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Standing Calf Raise Machine","2","50","5","","","kg",
"2018-02-05 02:12:26","Chest + Calves","Standing Calf Raise Machine","3","50","5","","","kg",
"2018-02-06 01:22:26","Back + Butt + Abs","Barbell Squat","1","20","5","","","kg",
"2018-02-06 01:22:26","Back + Butt + Abs","Barbell Squat","2","20","5","","","kg",
"2018-02-06 01:22:26","Back + Butt + Abs","Barbell Deadlifts","1","22","5","","","kg",
"2018-02-06 01:22:26","Back + Butt + Abs","Barbell Deadlifts","2","22","5","","","kg",
"2018-02-06 01:22:26","Back + Butt + Abs","Barbell Deadlifts","3","22","5","","","kg",
