Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-09-25 18:56:26,"Deadlift Day",55m,"Overhead Press (Barbell)",1,65.0,8,0,0,"","",
2021-09-25 18:56:26,"Deadlift Day",55m,"Overhead Press (Barbell)",2,85.0,6,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Overhead Press (Barbell)",3,95.0,5,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Overhead Press (Barbell)",4,95.0,6,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Overhead Press (Barbell)",5,95.0,5,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Deadlift (Barbell)",1,135.0,6,0,0,"",,
2021-09-25 18:56:26,"Deadlift Day",55m,"Deadlift (Barbell)",2,135.0,6,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Deadlift (Barbell)",3,135.0,6,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Deadlift (Barbell)",4,135.0,6,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Bench Press (Barbell)",1,65.0,12,0,0,"",,
2021-09-25 18:56:26,"Deadlift Day",55m,"Bench Press (Barbell)",2,85.0,12,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Bench Press (Barbell)",3,105.0,8,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Bench Press (Barbell)",4,115.0,6,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Sit Up",1,20.0,15,0,0,"",,
2021-09-25 18:56:26,"Deadlift Day",55m,"Sit Up",2,20.0,15,0,0,,,
2021-09-25 18:56:26,"Deadlift Day",55m,"Sit Up",3,20.0,15,0,0,,,
2021-09-26 16:28:00,"Climbing + Back",18m,"Chin Up",1,0,5,0,0,"","",
2021-09-26 16:28:00,"Climbing + Back",18m,"Chin Up",2,0,6,0,0,,,
2021-09-26 16:28:00,"Climbing + Back",18m,"Chin Up",3,0,4,0,0,,,
2021-09-26 16:28:00,"Climbing + Back",18m,"Chin Up",4,0,3,0,0,,,
2021-09-26 16:28:00,"Climbing + Back",18m,"Pull Up",1,0,5,0,0,"",,
2021-09-28 21:10:00,"Climbing + Back",20m,"Chin Up",1,0,8,0,0,"","",
2021-09-28 21:10:00,"Climbing + Back",20m,"Chin Up",2,0,5,0,0,,,
2021-09-28 21:10:00,"Climbing + Back",20m,"Chin Up",3,0,2,0,0,,,
2021-09-28 21:10:00,"Climbing + Back",20m,"Chin Up",4,0,3,0,0,,,
2021-09-28 21:10:00,"Climbing + Back",20m,"Chin Up",5,0,3,0,0,,,
2021-09-28 21:10:00,"Climbing + Back",20m,"Chin Up",6,0,2,0,0,,,
2021-09-28 21:10:00,"Climbing + Back",20m,"Pull Up",1,0,5,0,0,"",,
2021-09-28 21:48:58,"Squat Day",54m,"Overhead Press (Barbell)",1,74.99999999999999,6,0,0,"","",
2021-09-28 21:48:58,"Squat Day",54m,"Overhead Press (Barbell)",2,95.0,6,0,0,,,
